nr,cor,pred,loss,pred0,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,drot90,drot180,drot270,dtrans1_1,dtrans5_5,dtrans-5_-5,dscale1.2,dscale1.5,dscale2,rrot90,rrot180,rrot270,rtrans1_1,rtrans5_5,rtrans-5_-5,rscale1.2,rscale1.5,rscale2,prot90,prot180,prot270,ptrans1_1,ptrans5_5,ptrans-5_-5,pscale1.2,pscale1.5,pscale2,crot90,crot180,crot270,ctrans1_1,ctrans5_5,ctrans-5_-5,cscale1.2,cscale1.5,cscale2
0,[4.04927  2.45165  0.547832],[3.710838 1.684035 0.524424],0.234772137725722,[4.331469 2.103892 0.539349],[3.680123 1.624341 0.540904],[3.719867 1.682197 0.523607],[3.699861 1.499501 0.508532],[2.317558 0.775796 0.451918],[3.904721 2.365262 0.606776],[3.64085  0.989596 0.457773],[2.625066 0.696785 0.427402],[1.565066 0.656805 0.447533],1.0554120540618896,-0.07392984628677368,0.006373047828674316,-0.211403489112854,-2.374025344848633,0.957461416721344,-0.8310788869857788,-2.1700453758239746,-3.2498931884765625,1.178300142288208,0.9875103235244751,1.001076579093933,0.9642857313156128,0.5989346504211426,1.161752462387085,0.8595983982086182,0.6333947777748108,0.45096638798713684,0.18722829405036734,0.0015928118386732137,2.8524745976217975e-05,0.011475349337260354,0.9237948164430776,0.1694805640174207,0.16386232697865477,0.720992784379655,1.8884838708083873,0.06688113512079243,0.27358598358950653,0.2337171248366332,0.3434064229570351,1.9388372511033218,0.010610607286500465,0.7708400149305601,1.7074709712561502,3.134265954852065
1,[1.9412  0.51353 0.46096],[5.028774 0.901758 0.405372],3.2289752342599876,[3.568949 0.629711 0.406899],[1.480419 0.565802 0.407109],[3.30805  0.848619 0.442267],[5.144365 1.047673 0.409796],[4.541101 0.608516 0.378908],[6.249711 1.700104 0.445043],[5.815131 1.094101 0.409516],[4.236385 0.399699 0.36319 ],[1.099671 0.57035  0.436474],-1.730345368385315,-3.8825747966766357,-1.7369682788848877,0.26593029499053955,-0.8073791265487671,2.0589537620544434,0.9828431606292725,-1.3366296291351318,-4.2294087409973145,0.7268983721733093,0.3872106075286865,0.7258530855178833,1.0419719219207764,0.8725708723068237,1.3249659538269043,1.1551227569580078,0.7890388369560242,0.3324695825576782,0.7350344080731194,4.234565046729853,0.9883593319608392,0.01155735357490073,0.10817225623925471,0.7098720661911919,0.21845650297146127,0.29390744537662883,5.182883835184444,0.8886618972430745,0.07265050678759742,0.6603041439452045,3.5160647824381677,2.258412477814598,6.657158339658067,5.11568276946552,1.7634640751261816,0.23733312650595992
2,[0.807706 0.379835 0.299589],[0.834467 0.487155 0.384819],0.00649929268438434,[1.01247  0.526898 0.404282],[1.006274 0.532998 0.41647 ],[0.982291 0.530832 0.416177],[0.835564 0.486072 0.383909],[0.934911 0.510927 0.398556],[0.784819 0.47164  0.372725],[0.925618 0.512525 0.399096],[1.116042 0.572568 0.428348],[1.167091 0.595023 0.442332],0.2372087836265564,0.24930161237716675,0.2228596806526184,-0.0008958876132965088,0.13795256614685059,-0.07725715637207031,0.13079848885536194,0.4105165898799896,0.4980055093765259,1.139007806777954,1.1460944414138794,1.1305991411209106,0.9994750022888184,1.0808422565460205,0.9547260999679565,1.076649785041809,1.24056875705719,1.2918387651443481,0.011214466579594054,0.010873723382328393,0.0082476954907816,1.0691349272562434e-06,0.003614264572841345,0.000950633346896268,0.0030520240593293244,0.029491568062563367,0.041860828169923536,0.02483875275059735,0.025516465133179997,0.022290960182129376,0.006390716445890299,0.014386839063997436,0.004766951493178801,0.013803859691461128,0.049598568416532644,0.06527974344628444
3,[6.81527  1.409567 0.501454],[7.142718 1.024133 0.404103],0.08841955168651948,[7.352901 1.122844 0.409392],[6.748972 1.439915 0.447129],[7.176286 1.72197  0.456325],[6.932049 1.351596 0.425417],[6.397475 1.199846 0.427637],[6.978309 1.47204  0.436671],[7.907057 0.699335 0.372695],[8.176251 0.739042 0.366829],[8.471268 1.111819 0.393758],0.3141832649707794,0.06506156921386719,0.7836273908615112,0.13810810446739197,-0.5459955930709839,0.31606483459472656,0.40813279151916504,0.7111682295799255,1.4058910608291626,1.0366567373275757,1.007590889930725,1.091428279876709,1.016113519668579,0.9362969994544983,1.0368762016296387,1.0476181507110596,1.0829741954803467,1.1640297174453735,0.017982945770119645,0.10992047006164778,0.16361025642472793,0.05068935489606977,0.19560543214073345,0.07623711357917766,0.23023141126031277,0.3836192977769137,0.5909468657364082,0.12657747374946962,0.002755868894077914,0.07665490456635636,0.007593172165082156,0.0746614990628085,0.011560440816923985,0.5710022540257583,0.7733327092938563,0.9475268629956823
4,[0.458439 0.39173  0.321437],[1.029503 0.538804 0.416943],0.11895530168638208,[1.023647 0.544358 0.421854],[0.908969 0.510949 0.399824],[0.980541 0.532365 0.415101],[0.9733   0.523015 0.408988],[0.969472 0.524627 0.409158],[1.100063 0.562863 0.431366],[2.320792 0.796822 0.455103],[3.009014 1.218047 0.509489],[3.270578 1.531796 0.534513],0.004608720541000366,-0.1655074954032898,-0.05724284052848816,-0.07994803786277771,-0.08199283480644226,0.10904189944267273,1.5874671936035156,2.751300573348999,3.351637363433838,1.002321481704712,0.9166314005851746,0.9711658954620361,0.959729015827179,0.958699107170105,1.0549260377883911,1.7996309995651245,2.385871410369873,2.688269853591919,2.9749943500985882e-05,0.005199092746244342,0.0008140260681276009,0.0011571253003218966,0.0012884287044062266,0.0019218747932058615,0.5784860218144097,1.4628004153726542,2.007425190534087,0.11761290099900529,0.07444506008128285,0.10038061175711528,0.09666075274894438,0.09550374986980449,0.15101746420226636,1.2167751811219194,2.407865675233603,3.0844265353613434
5,[0.45305  0.302403 0.295773],[0.883609 0.499666 0.390405],0.07774957775437263,[0.891772 0.502732 0.393598],[0.918262 0.512979 0.399678],[0.877661 0.489263 0.381945],[0.811196 0.476831 0.374123],[0.761038 0.464571 0.366033],[0.930792 0.506758 0.395515],[0.770694 0.46444  0.365512],[0.832803 0.472607 0.37107 ],[1.427339 0.599554 0.424878],0.01442265510559082,0.057239532470703125,-0.02481016516685486,-0.11152982711791992,-0.1820375621318817,0.05938553810119629,-0.1730334460735321,-0.09720048308372498,0.6780906915664673,1.008131504058838,1.0322716236114502,0.9860120415687561,0.9371195435523987,0.8973672389984131,1.0334815979003906,0.9024438261985779,0.9451984763145447,1.3823072910308838,2.874549885708196e-05,0.00048802393989907006,7.172094037510846e-05,0.0020100510091456414,0.005616408132899468,0.0007675705502592223,0.004870072880540792,0.001229100245800474,0.10226939501223627,0.0807261544565946,0.09052021361743375,0.07421239882037366,0.05494412769525716,0.04203049866966274,0.09331573685250093,0.04400576414831414,0.0596170302663448,0.35140169301400254
6,[0.39369  0.35372  0.340605],[0.737548 0.441797 0.348353],0.042018645332088024,[0.88719  0.500176 0.395239],[0.943094 0.511452 0.401735],[0.646985 0.430344 0.35359 ],[0.826616 0.47282  0.368976],[0.823787 0.476805 0.37365 ],[0.972216 0.515015 0.40255 ],[1.216233 0.574279 0.423319],[1.481037 0.651553 0.440978],[1.0281   0.535137 0.411435],0.2549065351486206,0.3285822868347168,-0.096778005361557,0.14071470499038696,0.14654409885406494,0.36208274960517883,0.6861329078674316,1.0458698272705078,0.4469746947288513,1.1668566465377808,1.2150832414627075,0.9366510510444641,1.092108964920044,1.095924735069275,1.2370119094848633,1.4491286277770996,1.6846051216125488,1.2925806045532227,0.009333001413556493,0.016650181184796036,0.002786725762804624,0.0031069517140232725,0.00310089747205744,0.021122378250518697,0.08410363605847031,0.20178432920225267,0.03237078523444007,0.08932539003095531,0.1101536638551958,0.023399495756302225,0.06747155403445036,0.06707516917239396,0.12151513162648918,0.24402177621037588,0.42703435190148326,0.14680184972708005
7,[2.4645   0.310998 0.261927],[1.858838 0.638941 0.431218],0.1676774532694272,[2.075861 0.604707 0.425044],[0.985482 0.525011 0.408961],[1.982913 0.675173 0.4366  ],[1.923209 0.636546 0.429641],[2.864396 0.59768  0.407823],[3.024547 0.70795  0.418233],[2.670155 0.631392 0.410436],[2.429299 0.750259 0.43902 ],[1.077592 0.552424 0.425381],0.17661458253860474,-1.0095432996749878,0.1656891107559204,0.06039920449256897,0.9409019351005554,1.2217326164245605,0.7829854488372803,0.6895811557769775,-0.8736002445220947,1.0602986812591553,0.6553279757499695,1.0565686225891113,1.0206211805343628,1.3212368488311768,1.417116403579712,1.267322063446045,1.235432505607605,0.7017409205436707,0.016103008498837095,0.2587421750368805,0.005578766292484734,0.0013839329685062889,0.33779890731108847,0.4546027863132558,0.21957444115299532,0.11262607181303992,0.20595481420131426,0.08797076003487421,0.7516384835534188,0.13168688822828598,0.1423686611764803,0.08779633546324966,0.1652183211279594,0.05566697065748449,0.07518386944767826,0.6695056966993755
8,[0.85469  0.57582  0.526818],[1.049743 0.549666 0.421996],0.016572507456071427,[0.931081 0.510142 0.396959],[0.912656 0.510146 0.398517],[0.947074 0.516364 0.405007],[1.122226 0.56873  0.429942],[1.115888 0.5711   0.435704],[0.962414 0.523514 0.406354],[1.03765  0.546497 0.419584],[1.665253 0.666758 0.446358],[2.351599 0.802418 0.457384],-0.18322265148162842,-0.20008647441864014,-0.15295934677124023,0.09949386119842529,0.1012880802154541,-0.12912383675575256,-0.017674773931503296,0.7569646239280701,1.5899951457977295,0.9093588590621948,0.9010162353515625,0.9243302345275879,1.0492202043533325,1.0501078367233276,0.9361218214035034,0.9912562370300293,1.3744745254516602,1.7865792512893677,0.0054232090587949715,0.006968697087951152,0.0039795225445757865,0.0018934531564435513,0.0016741758516995258,0.002851670472395836,5.40363395122867e-05,0.13105224291647843,0.5866544336796906,0.009004203269878698,0.008044761262320241,0.008969216701406628,0.02700357279852382,0.025516179038767652,0.009617379053408419,0.015277824611058739,0.2239188270329194,0.7656344815402218
9,[5.96634 0.52678 0.37914],[6.698636 1.573267 0.431028],0.5446950764212481,[7.869134 2.288708 0.489602],[8.412245 1.020125 0.388941],[7.059875 1.691993 0.451932],[6.329479 1.888874 0.468493],[5.995107 1.564786 0.452141],[6.204552 1.692986 0.47263 ],[7.645869 2.043777 0.457007],[9.899983 2.912607 0.474552],[11.999998  2.869154  0.399504],1.944512963294983,1.1183795928955078,0.5008684396743774,-0.016085922718048096,-0.6908971071243286,-0.3327634632587433,1.4437222480773926,4.584210395812988,6.565725326538086,1.223431944847107,1.128506064414978,1.057551622390747,0.9981517195701599,0.9206132888793945,0.9617641568183899,1.1658891439437866,1.5267432928085327,1.7544268369674683,0.6284509317402872,1.0813981034960232,0.048342103587020624,0.07909578259547938,0.16515662921637406,0.08672737624613595,0.3731019220953537,4.014783950109401,9.928253793972706,2.2457392477247318,2.075311924934786,0.8529459461999607,0.6650511765435304,0.361204520387836,0.47517390468535753,1.7093872434602622,7.058274333118489,13.96405425441982
